Component, Time (ms)
Task time, 6.003363
Task time, 4.515371
Task time, 0.334492
Task time, 0.314211
Task time, 0.338871
Task time, 0.332373
Task time, 0.381886
Task time, 0.354486
Task time, 0.372818
Task time, 0.379148
Task time, 0.372778
Task time, 0.375779
Task time, 0.37243
Task time, 0.372302
Task time, 0.378408
Task time, 0.357446
Task time, 0.372476
Task time, 0.372598
Task time, 0.402321
Task time, 0.32
Task time, 0.186917
Task time, 0.179894
Task time, 0.244229
Task time, 0.20129
Task time, 0.231104
Task time, 0.195732
Task time, 0.195964
Task time, 0.223197
Task time, 0.208421
Task time, 0.19902
Task time, 0.196248
Task time, 0.196179
Task time, 0.196506
Task time, 0.206548
Task time, 0.208809
Task time, 0.18555
Task time, 0.222652
Task time, 0.208896
Task time, 0.196891
Task time, 0.196835
Task time, 0.197102
Task time, 0.197301
Task time, 0.197677
Task time, 0.198319
Task time, 0.198757
Task time, 0.199094
Task time, 0.233767
Task time, 0.199851
Task time, 0.202388
Task time, 0.212268
Task time, 0.200196
Task time, 0.200174
Task time, 0.233638
Task time, 0.200384
Task time, 0.208834
Task time, 0.235002
Task time, 0.200757
Task time, 0.200728
Task time, 0.213346
Task time, 0.200857
Task time, 0.200894
Task time, 0.228313
Task time, 0.213549
Task time, 0.20098
Task time, 0.213635
Task time, 0.213732
Task time, 0.201187
Task time, 0.211851
Task time, 0.21381
Task time, 0.20137
Task time, 0.209802
Task time, 0.201283
Task time, 0.201473
Task time, 0.201421
Task time, 0.201456
Task time, 0.201443
Task time, 0.231672
Task time, 0.214218
Task time, 0.20173
Task time, 0.201733
Task time, 0.214303
Task time, 0.201764
Task time, 0.201708
Task time, 0.23525
Task time, 0.201813
Task time, 0.201817
Task time, 0.232136
Task time, 0.201895
Task time, 0.202363
Task time, 0.237799
Task time, 0.202756
Task time, 0.20282
Task time, 0.202993
Task time, 0.203091
Task time, 0.203183
Task time, 0.214878
Task time, 0.216085
Task time, 0.203558
Task time, 0.229402
Task time, 0.192983
Task time, 0.205152
Task time, 0.214367
Task time, 0.218668
Task time, 0.229472
Task time, 0.230706
Task time, 0.220306
Task time, 0.22978
Task time, 0.210011
Task time, 0.256621
Task time, 0.213125
Task time, 0.214747
Task time, 0.252859
Task time, 0.215105
Task time, 0.213955
Task time, 0.24177
Task time, 0.212702
Task time, 0.232393
Task time, 0.242183
Task time, 0.218991
Task time, 0.217174
Task time, 0.244452
Task time, 0.234396
Task time, 0.241134
Task time, 0.230392
Task time, 0.260832
Task time, 0.242734
Task time, 0.240783
Task time, 0.235862
Task time, 0.238117
Task time, 0.247384
Task time, 0.242173
Task time, 0.249324
Task time, 0.276055
Task time, 0.241914
Task time, 0.238175
Task time, 0.274955
Task time, 0.237762
Task time, 0.231107
Task time, 0.273507
Task time, 0.238568
Task time, 0.236865
Task time, 0.231993
Task time, 0.2383
Task time, 0.235382
Task time, 0.249244
Task time, 0.235742
Task time, 0.257381
Task time, 0.274376
Task time, 0.266907
Task time, 0.251711
Task time, 0.274575
Task time, 0.235318
Task time, 0.240172
Task time, 0.240077
Task time, 0.290101
Task time, 0.246684
Task time, 0.25324
Task time, 0.230725
Task time, 0.247227
Task time, 0.256398
Task time, 0.252217
Task time, 0.242318
Task time, 0.261665
Task time, 0.253563
Task time, 0.251225
Task time, 0.244437
Task time, 0.298747
Task time, 0.256271
Task time, 0.291202
Task time, 0.315501
Task time, 0.295265
Task time, 0.274031
Task time, 0.317199
Task time, 0.314987
Task time, 0.319657
Task time, 0.332254
Task time, 0.342836
Task time, 0.352158
Task time, 0.37198
Task time, 0.370451
Task time, 0.367393
Task time, 0.346852
Task time, 0.381491
Task time, 0.348055
Task time, 0.347201
Task time, 0.399384
Task time, 0.346433
Task time, 0.3325
Task time, 0.321874
Task time, 0.328642
Task time, 0.343179
Task time, 0.330965
Task time, 0.341132
Task time, 0.379383
Task time, 0.411108
Task time, 0.37461
Task time, 0.389124
Task time, 0.396653
Task time, 0.370728
Task time, 0.390144
Task time, 0.379053
Task time, 0.386343
Task time, 0.407392
Task time, 0.402321
Task time, 0.41325
Task time, 0.416024
Task time, 0.450829
Task time, 0.461944
Task time, 0.397341
Task time, 0.400038
Task time, 0.441402
Task time, 0.384802
Task time, 0.392018
Task time, 0.43771
Task time, 0.405149
Task time, 0.38938
Task time, 0.453761
Task time, 0.39512
Task time, 0.388955
Task time, 0.415966
Task time, 0.391365
Task time, 0.36244
Task time, 0.417794
Task time, 0.392291
Task time, 0.430825
Task time, 0.40713
Task time, 0.421524
Task time, 0.422544
Task time, 0.441998
Task time, 0.410769
Task time, 0.403724
Task time, 0.442801
Task time, 0.421649
Task time, 0.434713
Task time, 0.475168
Task time, 0.444551
Task time, 0.425079
Task time, 0.451928
Task time, 0.423707
Task time, 0.419266
Task time, 0.441513
Task time, 0.417461
Task time, 0.418853
Task time, 0.394003
Task time, 0.382036
Task time, 0.377735
Task time, 0.396538
Task time, 0.437097
Task time, 0.398992
Task time, 0.411572
Task time, 0.423503
Task time, 0.436312
Task time, 0.461252
Task time, 0.48245
Task time, 0.435056
Task time, 0.448644
Task time, 0.473305
Task time, 0.434986
Task time, 0.436261
Task time, 0.462458
Task time, 0.432083
Task time, 0.449765
Task time, 0.468199
Task time, 0.468527
Task time, 0.46147
Task time, 0.428043
Task time, 0.479486
Task time, 0.458719
Task time, 0.435778
Task time, 0.487813
Task time, 0.451404
Task time, 0.484616
Task time, 0.485899
Task time, 0.50539
Task time, 0.484819
Task time, 0.51567
Task time, 0.531925
Task time, 0.494189
Task time, 0.484881
Task time, 0.516842
Task time, 0.451184
Task time, 0.470492
Task time, 0.438651
Task time, 0.464776
Task time, 0.499801
Task time, 0.449293
Task time, 0.468406
Task time, 0.435275
Task time, 0.51197
Task time, 0.51046
Task time, 0.470827
Task time, 0.501025
Task time, 0.492337
Task time, 0.487403
Task time, 0.4862
Task time, 0.548475
Task time, 0.523044
Task time, 0.527724
Task time, 0.533894
Task time, 0.589238
Task time, 0.511025
Task time, 0.516237
Task time, 0.538236
Task time, 0.497524
Task time, 0.554875
Task time, 0.565377
Task time, 0.529206
Task time, 0.553496
Task time, 0.619307
Task time, 0.546023
Task time, 0.584612
Task time, 0.631326
Task time, 0.620723
Task time, 0.645235
Task time, 0.663064
Task time, 0.623483
Task time, 0.699522
Task time, 0.672572
Task time, 0.652592
Task time, 0.715418
Task time, 0.709535
Task time, 0.67799
Task time, 0.668109
Task time, 0.711439
Task time, 0.677894
Task time, 0.669696
Task time, 0.71364
Task time, 0.668866
Task time, 0.734542
Task time, 0.709169
Task time, 0.678779
Task time, 0.671122
Task time, 0.669561
Task time, 0.690046
Task time, 0.727734
Task time, 0.752452
Task time, 0.7229
Task time, 0.736682
Task time, 0.733342
Task time, 0.765774
Task time, 0.75866
Task time, 0.83451
Task time, 0.832054
Task time, 0.845448
Task time, 0.871305
Task time, 0.885755
Task time, 0.924167
Task time, 0.939865
Task time, 0.900181
Task time, 0.957428
Task time, 0.961485
Task time, 0.992813
Task time, 0.951535
Task time, 0.942239
Task time, 0.916419
Task time, 0.860634
Task time, 0.866451
Task time, 0.907943
Task time, 0.846491
Task time, 0.91651
Task time, 0.942613
Task time, 0.931259
Task time, 0.958236
Task time, 0.939564
Task time, 0.964242
Task time, 0.948241
Task time, 0.977502
Task time, 0.95438
Task time, 0.9993
Task time, 1.025625
Task time, 1.020067
Task time, 1.055123
Task time, 1.104069
Task time, 1.090445
Task time, 1.026341
Task time, 0.934682
Task time, 1.027034
Task time, 1.039575
Task time, 1.074926
Task time, 1.061683
Task time, 1.085883
Task time, 1.10517
Task time, 1.074674
Task time, 1.09998
Task time, 1.122016
Task time, 1.068208
Task time, 1.087929
Task time, 1.116148
Task time, 1.080245
Task time, 1.067746
Task time, 1.114522
Task time, 1.071547
Task time, 1.063908
Task time, 1.124501
Task time, 1.130625
Task time, 1.145718
Task time, 1.146137
Task time, 1.182144
Task time, 1.16856
Task time, 1.222558
Task time, 1.198818
Task time, 1.12272
Task time, 1.134685
Task time, 1.123359
Task time, 1.133485
Task time, 1.090897
Task time, 1.200021
Task time, 1.205555
Task time, 1.208695
Task time, 1.249609
Task time, 1.167691
Task time, 1.211274
Task time, 1.204244
Task time, 1.214216
Task time, 1.216375
Task time, 1.196866
Task time, 1.22031
Task time, 1.19272
Task time, 1.188264
Task time, 1.167676
Task time, 1.144343
Task time, 1.199434
Task time, 1.160164
Task time, 1.250137
Task time, 1.268529
Task time, 1.231978
Task time, 1.230474
Task time, 1.291031
Task time, 1.209543
Task time, 1.217254
Task time, 1.234802
Task time, 1.180119
Task time, 1.156358
Task time, 1.196078
Task time, 1.12149
Task time, 1.247824
Task time, 1.239222
Task time, 1.234887
Task time, 1.241674
Task time, 1.319253
Task time, 1.221415
Task time, 1.261004
Task time, 1.238666
Task time, 1.255097
Task time, 1.178975
Task time, 1.252014
Task time, 1.146306
Task time, 1.173594
Task time, 1.197274
Task time, 1.1726
Task time, 1.170405
Task time, 1.217882
Task time, 1.22079
Task time, 1.223009
Task time, 1.200435
Task time, 1.230122
Task time, 1.125001
Task time, 1.145667
Task time, 1.120404
Task time, 1.137562
Task time, 1.192092
Task time, 1.214863
Task time, 1.19544
Task time, 1.216712
Task time, 1.233391
Task time, 1.185926
Task time, 1.226768
Task time, 1.315608
Task time, 1.282817
Task time, 1.328003
Task time, 1.351949
Task time, 1.285913
Task time, 1.282656
Task time, 1.366735
Task time, 1.280754
Task time, 1.34949
Task time, 1.380213
Task time, 1.366623
Task time, 1.363305
Task time, 1.470044
Task time, 1.419202
Task time, 1.401924
Task time, 1.371549
Task time, 1.301226
Task time, 1.313133
Task time, 1.355935
Task time, 1.330928
Task time, 1.331053
Task time, 1.339099
Task time, 1.359636
Task time, 1.397785
Task time, 1.397766
Task time, 1.396144
Task time, 1.405147
Task time, 1.360264
Task time, 1.489892
Task time, 1.462445
Task time, 1.436577
Task time, 1.435259
Task time, 1.448003
Task time, 1.407561
Task time, 1.502312
Task time, 1.438068
Task time, 1.500755
Task time, 1.371334
Task time, 1.417036
Task time, 1.426969
Task time, 1.455316
Task time, 1.395417
Task time, 1.499521
Task time, 1.477181
Task time, 1.401798
