Component, Time (ms)
Task time, 31907.470369
Task time, 36808.77046
Task time, 10235.802367
Task time, 10157.187615
Task time, 7794.027992
Task time, 7345.663354
Task time, 8591.82762
Task time, 9130.098447
Task time, 8228.470113
Task time, 6707.514443
Task time, 7187.968521
Task time, 9838.620236
Task time, 9880.159118
Task time, 8623.664088
Task time, 8873.551297
Task time, 10372.468008
Task time, 10496.96388
Task time, 10077.554122
Task time, 11533.751594
Task time, 11162.746567
Task time, 12278.569567
Task time, 11914.196897
Task time, 13456.202259
Task time, 12887.85163
Task time, 13405.882366
Task time, 13895.78633
Task time, 13926.846777
Task time, 14573.054991
Task time, 15017.391614
Task time, 15703.447576
Task time, 16027.593265
Task time, 20655.945532
Task time, 17520.063615
Task time, 17061.853247
Task time, 17948.597317
Task time, 18546.403024
Task time, 18644.108263
Task time, 20676.798724
Task time, 21131.357981
Task time, 22390.002374
Task time, 20402.726418
Task time, 21288.817705
Task time, 21563.389905
Task time, 22417.695581
Task time, 22467.104011
Task time, 25139.911754
Task time, 26496.732985
Task time, 25684.867545
Task time, 24312.230267
Task time, 24507.79766
Task time, 25267.105426
Task time, 25949.901589
Task time, 26256.072892
Task time, 26687.025381
Task time, 27056.743513
Task time, 27905.627625
Task time, 31715.384491
Task time, 30101.578097
Task time, 28461.31926
Task time, 29136.255212
Task time, 30017.558253
Task time, 32320.395696
Task time, 33401.986764
Task time, 31227.119206
Task time, 33150.178296
Task time, 32169.438763
Task time, 34527.869884
Task time, 37082.333597
Task time, 35668.166644
Task time, 33757.16346
Task time, 36536.618593
Task time, 36033.995244
Task time, 35206.0188
Task time, 35837.828771
Task time, 36357.717094
Task time, 38919.791132
Task time, 38326.303952
Task time, 39327.210999
Task time, 39317.478644
Task time, 39501.164253
Task time, 40095.971269
Task time, 40818.287088
Task time, 45420.774638
Task time, 48396.749236
Task time, 41128.526407
Task time, 41663.939612
Task time, 42351.955351
Task time, 47150.729971
Task time, 44189.660676
Task time, 43659.099007
Task time, 44186.673867
Task time, 45053.336084
Task time, 52140.825176
Task time, 45562.692143
Task time, 45652.795586
Task time, 46135.615692
Tour: 10 9 5 1 0 4 8 11 7 3 2 6  Length: 31.313708498984763
Client Total,1264727.141039

