Component, Time (ms)
Task time, 6.109236
Task time, 0.332738
Task time, 0.336842
Task time, 0.381135
Task time, 0.376503
Task time, 0.376948
Task time, 0.379932
Task time, 0.380716
Task time, 0.373273
Task time, 0.401505
Task time, 0.221488
Task time, 0.22731
Task time, 0.195256
Task time, 0.195225
Task time, 0.184404
Task time, 0.195397
Task time, 0.195375
Task time, 0.195533
Task time, 0.195467
Task time, 0.207746
Task time, 0.195732
Task time, 0.221123
Task time, 0.195688
Task time, 0.195951
Task time, 0.195822
Task time, 0.195824
Task time, 0.196065
Task time, 0.195998
Task time, 0.207347
Task time, 0.196077
Task time, 0.1961
Task time, 0.196278
Task time, 0.208652
Task time, 0.227798
Task time, 0.196475
Task time, 0.196452
Task time, 0.196639
Task time, 0.196935
Task time, 0.209169
Task time, 0.226187
Task time, 0.197116
Task time, 0.197347
Task time, 0.197777
Task time, 0.198204
Task time, 0.211199
Task time, 0.199198
Task time, 0.199398
Task time, 0.199626
Task time, 0.199788
Task time, 0.212517
Task time, 0.2119
Task time, 0.200274
Task time, 0.200386
Task time, 0.20045
Task time, 0.20056
Task time, 0.213247
Task time, 0.235003
Task time, 0.20077
Task time, 0.200769
Task time, 0.200861
Task time, 0.200965
Task time, 0.233407
Task time, 0.21075
Task time, 0.201008
Task time, 0.201134
Task time, 0.201167
Task time, 0.201167
Task time, 0.212417
Task time, 0.201354
Task time, 0.201294
Task time, 0.201418
Task time, 0.21398
Task time, 0.214041
Task time, 0.229241
Task time, 0.201439
Task time, 0.201596
Task time, 0.202321
Task time, 0.214192
Task time, 0.214519
Task time, 0.228109
Task time, 0.201773
Task time, 0.201744
Task time, 0.201935
Task time, 0.214411
Task time, 0.235488
Task time, 0.201971
Task time, 0.202031
Task time, 0.201976
Task time, 0.202412
Task time, 0.215253
Task time, 0.230659
Task time, 0.2029
Task time, 0.202936
Task time, 0.203132
Task time, 0.20314
Task time, 0.21604
Task time, 0.232499
Task time, 0.203838
Task time, 0.203732
Task time, 0.216804
Task time, 0.2175
Task time, 0.239321
Task time, 0.21549
Task time, 0.22601
Task time, 0.207152
Task time, 0.207513
Task time, 0.211122
Task time, 0.221526
Task time, 0.225041
Task time, 0.213217
Task time, 0.227976
Task time, 0.220301
Task time, 0.203334
Task time, 0.192403
Task time, 0.227505
Task time, 0.212793
Task time, 0.218156
Task time, 0.2158
Task time, 0.230816
Task time, 0.214835
Task time, 0.235053
Task time, 0.220809
Task time, 0.240861
Task time, 0.230489
Task time, 0.24683
Task time, 0.240027
Task time, 0.255375
Task time, 0.238988
Task time, 0.252928
Task time, 0.249974
Task time, 0.274017
Task time, 0.246352
Task time, 0.255516
Task time, 0.241985
Task time, 0.224645
Task time, 0.243635
Task time, 0.252697
Task time, 0.244841
Task time, 0.252992
Task time, 0.24139
Task time, 0.251379
Task time, 0.233065
Task time, 0.250007
Task time, 0.235785
Task time, 0.234611
Task time, 0.236027
Task time, 0.247896
Task time, 0.258152
Task time, 0.266844
Task time, 0.267556
Task time, 0.266013
Task time, 0.257852
Task time, 0.239752
Task time, 0.241252
Task time, 0.251618
Task time, 0.262173
Task time, 0.280467
Task time, 0.257177
Task time, 0.246227
Task time, 0.246014
Task time, 0.267691
Task time, 0.291974
Task time, 0.261429
Task time, 0.253547
Task time, 0.257208
Task time, 0.274842
Task time, 0.296138
Task time, 0.271343
Task time, 0.287365
Task time, 0.287556
Task time, 0.309931
Task time, 0.323314
Task time, 0.293554
Task time, 0.314223
Task time, 0.329856
Task time, 0.320944
Task time, 0.34172
Task time, 0.361562
Task time, 0.346693
Task time, 0.348001
Task time, 0.390237
Task time, 0.396764
Task time, 0.342371
Task time, 0.358086
Task time, 0.34678
Task time, 0.356186
Task time, 0.378857
Task time, 0.343996
Task time, 0.321722
Task time, 0.35299
Task time, 0.360104
Task time, 0.337789
Task time, 0.361997
Task time, 0.421045
Task time, 0.369368
Task time, 0.373516
Task time, 0.440399
Task time, 0.384753
Task time, 0.387724
Task time, 0.408084
Task time, 0.377489
Task time, 0.368694
Task time, 0.446405
Task time, 0.453558
Task time, 0.415105
Task time, 0.391657
Task time, 0.425604
Task time, 0.410078
Task time, 0.433643
Task time, 0.422015
Task time, 0.421199
Task time, 0.393656
Task time, 0.393723
Task time, 0.395487
Task time, 0.431743
Task time, 0.41045
Task time, 0.4093
Task time, 0.390728
Task time, 0.415631
Task time, 0.374536
Task time, 0.41659
Task time, 0.412947
Task time, 0.383792
Task time, 0.404035
Task time, 0.477673
Task time, 0.414468
Task time, 0.446808
Task time, 0.461312
Task time, 0.408848
Task time, 0.410561
Task time, 0.447946
Task time, 0.458403
Task time, 0.448236
Task time, 0.442087
Task time, 0.442214
Task time, 0.44417
Task time, 0.472726
Task time, 0.442533
Task time, 0.430731
Task time, 0.423515
Task time, 0.412379
Task time, 0.392938
Task time, 0.460936
Task time, 0.40604
