Component, Time (ms)
Task time, 4.747
Task time, 4.509
Task time, 0.304
Task time, 0.23
Task time, 0.238
Task time, 0.305
Task time, 0.36
Task time, 0.261
Task time, 0.34
Task time, 0.339
Task time, 0.327
Task time, 0.258
Task time, 0.243
Task time, 0.335
Task time, 0.248
Task time, 0.256
Task time, 0.241
Task time, 0.242
Task time, 0.357
Task time, 0.365
Task time, 0.238
Task time, 0.427
Task time, 0.228
Task time, 0.132
Task time, 0.123
Task time, 0.123
Task time, 0.229
Task time, 0.18
Task time, 0.222
Task time, 0.128
Task time, 0.124
Task time, 0.13
Task time, 0.129
Task time, 0.254
Task time, 0.176
Task time, 0.145
Task time, 0.223
Task time, 0.145
Task time, 0.235
Task time, 0.225
Task time, 0.223
Task time, 0.193
Task time, 0.225
Task time, 0.306
Task time, 0.307
Task time, 0.226
Task time, 0.178
Task time, 0.309
Task time, 0.308
Task time, 0.231
Task time, 0.309
Task time, 0.228
Task time, 0.227
Task time, 0.227
Task time, 0.227
Task time, 0.179
Task time, 0.228
Task time, 0.256
Task time, 0.287
Task time, 0.228
Task time, 0.174
Task time, 0.155
Task time, 0.18
Task time, 0.185
Task time, 0.184
Task time, 0.181
Task time, 0.236
Task time, 0.149
Task time, 0.228
Task time, 0.18
Task time, 0.208
Task time, 0.181
Task time, 0.311
Task time, 0.185
Task time, 0.232
Task time, 0.151
Task time, 0.131
Task time, 0.149
Task time, 0.15
Task time, 0.238
Task time, 0.242
Task time, 0.15
Task time, 0.312
Task time, 0.311
Task time, 0.322
Task time, 0.228
Task time, 0.312
Task time, 0.312
Task time, 0.128
Task time, 0.278
Task time, 0.23
Task time, 0.181
Task time, 0.181
Task time, 0.314
Task time, 0.13
Task time, 0.129
Task time, 0.314
Task time, 0.15
Task time, 0.316
Task time, 0.322
Task time, 0.184
Task time, 0.152
Task time, 0.276
Task time, 0.357
Task time, 0.191
Task time, 0.134
Task time, 0.366
Task time, 0.325
Task time, 0.333
Task time, 0.356
Task time, 0.137
Task time, 0.34
Task time, 0.333
Task time, 0.243
Task time, 0.14
Task time, 0.242
Task time, 0.163
Task time, 0.254
Task time, 0.339
Task time, 0.282
Task time, 0.357
Task time, 0.198
Task time, 0.203
Task time, 0.289
Task time, 0.215
Task time, 0.272
Task time, 0.178
Task time, 0.332
Task time, 0.28
Task time, 0.268
Task time, 0.275
Task time, 0.282
Task time, 0.216
Task time, 0.217
Task time, 0.151
Task time, 0.372
Task time, 0.178
Task time, 0.16
Task time, 0.278
Task time, 0.154
Task time, 0.212
Task time, 0.282
Task time, 0.204
Task time, 0.276
Task time, 0.268
Task time, 0.364
Task time, 0.362
Task time, 0.375
Task time, 0.324
Task time, 0.286
Task time, 0.234
Task time, 0.394
Task time, 0.218
Task time, 0.273
Task time, 0.225
Task time, 0.28
Task time, 0.189
Task time, 0.163
Task time, 0.296
Task time, 0.38
Task time, 0.287
Task time, 0.235
Task time, 0.166
Task time, 0.232
Task time, 0.237
Task time, 0.241
Task time, 0.25
Task time, 0.18
Task time, 0.349
Task time, 0.262
Task time, 0.198
Task time, 0.269
Task time, 0.222
Task time, 0.44
Task time, 0.209
Task time, 0.294
Task time, 0.401
Task time, 0.263
Task time, 0.395
Task time, 0.219
Task time, 0.275
Task time, 0.429
Task time, 0.255
Task time, 0.258
Task time, 0.272
Task time, 0.338
Task time, 0.538
Task time, 0.469
Task time, 0.488
Task time, 0.295
Task time, 0.525
Task time, 0.303
Task time, 0.528
Task time, 0.435
Task time, 0.574
Task time, 0.592
Task time, 0.446
Task time, 0.29
Task time, 0.231
Task time, 0.525
Task time, 0.585
Task time, 0.367
Task time, 0.304
Task time, 0.644
Task time, 0.261
Task time, 0.374
Task time, 0.281
Task time, 0.474
Task time, 0.297
Task time, 0.443
Task time, 0.311
Task time, 0.461
Task time, 0.247
Task time, 0.612
Task time, 0.637
Task time, 0.621
Task time, 0.37
Task time, 0.608
Task time, 0.655
Task time, 0.388
Task time, 0.25
Task time, 0.422
Task time, 0.438
Task time, 0.471
Task time, 0.668
Task time, 0.476
Task time, 0.614
Task time, 0.491
Task time, 0.461
Task time, 0.466
Task time, 0.366
Task time, 0.677
Task time, 0.48
Task time, 0.498
Task time, 0.397
Task time, 0.399
Task time, 0.383
Task time, 0.398
Task time, 0.5
Task time, 0.33
Task time, 0.374
Task time, 0.309
Task time, 0.699
Task time, 0.268
Task time, 0.608
Task time, 0.431
Task time, 0.425
Task time, 0.252
Task time, 0.359
Task time, 0.561
Task time, 0.261
Task time, 0.502
Task time, 0.715
Task time, 0.411
Task time, 0.675
Task time, 0.399
Task time, 0.456
Task time, 0.501
Task time, 0.676
Task time, 0.321
Task time, 0.494
Task time, 0.652
Task time, 0.495
Task time, 0.495
Task time, 0.392
Task time, 0.395
Task time, 0.404
Task time, 0.605
Task time, 0.347
Task time, 0.418
Task time, 0.344
Task time, 0.507
Task time, 0.297
Task time, 0.464
Task time, 0.555
Task time, 0.626
Task time, 0.364
Task time, 0.441
Task time, 0.308
Task time, 0.563
Task time, 0.772
Task time, 0.349
Task time, 0.327
Task time, 0.683
Task time, 0.404
Task time, 0.694
Task time, 0.337
Task time, 0.676
Task time, 0.534
Task time, 0.524
Task time, 0.711
Task time, 0.803
Task time, 0.534
Task time, 0.659
Task time, 0.437
Task time, 0.597
Task time, 0.418
Task time, 0.624
Task time, 0.807
Task time, 0.594
Task time, 0.377
Task time, 0.585
Task time, 0.288
Task time, 0.566
Task time, 0.497
Task time, 0.516
Task time, 0.481
Task time, 0.632
Task time, 0.679
Task time, 0.671
Task time, 0.513
Task time, 0.619
Task time, 0.554
Task time, 0.695
Task time, 0.572
Task time, 0.398
Task time, 0.603
Task time, 0.611
Task time, 0.416
Task time, 0.976
Task time, 0.605
Task time, 0.824
Task time, 0.597
Task time, 0.659
Task time, 0.95
Task time, 0.617
