Component, Time (ms)
Task time, 13.812
Task time, 0.292
Task time, 0.315
Task time, 2.386
Task time, 0.341
Task time, 0.289
Task time, 0.336
Task time, 0.217
Task time, 0.331
Task time, 0.499
Task time, 0.27
Task time, 0.175
Task time, 0.302
Task time, 0.302
Task time, 0.222
Task time, 0.221
Task time, 0.127
Task time, 0.221
Task time, 0.31
Task time, 0.243
Task time, 0.221
Task time, 0.133
Task time, 0.18
Task time, 0.225
Task time, 0.301
Task time, 0.306
Task time, 0.302
Task time, 0.303
Task time, 0.312
Task time, 0.303
Task time, 0.303
Task time, 0.18
Task time, 0.303
Task time, 0.179
Task time, 0.223
Task time, 0.225
Task time, 0.304
Task time, 0.226
Task time, 0.304
Task time, 0.304
Task time, 0.304
Task time, 0.304
Task time, 0.177
Task time, 0.306
Task time, 0.307
Task time, 0.307
Task time, 0.126
Task time, 0.294
Task time, 0.309
Task time, 0.309
Task time, 0.126
Task time, 0.227
Task time, 0.227
Task time, 0.309
Task time, 0.229
Task time, 0.311
Task time, 0.237
Task time, 0.354
Task time, 0.186
Task time, 0.257
Task time, 0.361
Task time, 0.376
Task time, 0.404
Task time, 0.21
Task time, 0.324
Task time, 0.127
Task time, 0.131
Task time, 0.204
Task time, 0.207
Task time, 0.229
Task time, 0.127
Task time, 0.246
Task time, 0.285
Task time, 0.311
Task time, 0.347
Task time, 0.343
Task time, 0.187
Task time, 0.181
Task time, 0.312
Task time, 0.312
Task time, 0.311
Task time, 0.228
Task time, 0.312
Task time, 0.18
Task time, 0.312
Task time, 0.181
Task time, 0.143
Task time, 0.18
Task time, 0.229
Task time, 0.23
Task time, 0.313
Task time, 0.15
Task time, 0.119
Task time, 0.151
Task time, 0.315
Task time, 0.316
Task time, 0.231
Task time, 0.141
Task time, 0.133
Task time, 0.132
Task time, 0.133
Task time, 0.137
Task time, 0.135
Task time, 0.182
Task time, 0.153
Task time, 0.131
Task time, 0.151
Task time, 0.134
Task time, 0.194
Task time, 0.137
Task time, 0.332
Task time, 0.14
Task time, 0.26
Task time, 0.244
Task time, 0.337
Task time, 0.22
Task time, 0.13
Task time, 0.197
Task time, 0.398
Task time, 0.161
Task time, 0.171
Task time, 0.199
Task time, 0.152
Task time, 0.162
Task time, 0.149
Task time, 0.152
Task time, 0.288
Task time, 0.372
Task time, 0.27
Task time, 0.37
Task time, 0.609
Task time, 0.156
Task time, 0.153
Task time, 0.154
Task time, 0.279
Task time, 0.156
Task time, 0.158
Task time, 0.204
Task time, 0.156
Task time, 0.39
Task time, 0.156
Task time, 0.154
Task time, 0.151
Task time, 0.151
Task time, 0.139
Task time, 0.149
Task time, 0.154
Task time, 0.144
Task time, 0.164
Task time, 0.172
Task time, 0.159
Task time, 0.165
Task time, 0.16
Task time, 0.162
Task time, 0.166
Task time, 0.166
Task time, 0.169
Task time, 0.163
Task time, 0.156
Task time, 0.156
Task time, 0.284
Task time, 0.238
Task time, 0.362
Task time, 0.228
Task time, 0.404
Task time, 0.434
Task time, 0.304
Task time, 0.31
Task time, 0.196
Task time, 0.327
Task time, 0.263
Task time, 0.27
Task time, 0.195
Task time, 0.215
Task time, 0.189
Task time, 0.296
Task time, 0.39
Task time, 0.616
Task time, 0.538
Task time, 0.222
Task time, 0.247
Task time, 0.235
Task time, 0.217
Task time, 0.22
Task time, 0.237
Task time, 0.229
Task time, 0.22
Task time, 0.218
Task time, 0.212
Task time, 0.396
Task time, 0.224
Task time, 0.222
Task time, 0.22
Task time, 0.459
Task time, 0.252
Task time, 0.237
Task time, 0.26
Task time, 0.239
Task time, 0.24
Task time, 0.671
Task time, 0.289
Task time, 0.258
Task time, 0.37
Task time, 0.276
Task time, 0.284
Task time, 0.277
Task time, 0.287
Task time, 0.286
Task time, 0.283
Task time, 0.252
Task time, 0.253
Task time, 0.268
Task time, 0.264
Task time, 0.257
Task time, 0.267
Task time, 0.302
Task time, 0.267
Task time, 0.261
Task time, 0.25
Task time, 0.25
Task time, 0.256
Task time, 0.276
Task time, 0.255
Task time, 0.267
Task time, 0.27
Task time, 0.274
Task time, 0.277
Task time, 0.283
Task time, 0.267
Task time, 0.636
Task time, 0.373
Task time, 0.292
Task time, 0.285
Task time, 0.452
Task time, 0.295
Task time, 0.297
Task time, 0.281
Task time, 0.311
Task time, 0.281
Task time, 0.275
Task time, 0.266
Task time, 0.284
Task time, 0.554
Task time, 0.374
Task time, 0.307
Task time, 0.251
Task time, 0.242
Task time, 0.259
Task time, 0.254
Task time, 0.258
Task time, 0.264
Task time, 0.326
Task time, 0.304
Task time, 0.292
Task time, 0.291
Task time, 0.295
Task time, 0.29
Task time, 0.289
Task time, 0.286
Task time, 0.285
Task time, 0.287
Task time, 0.273
Task time, 0.409
Task time, 0.291
Task time, 0.526
Task time, 0.284
Task time, 0.287
Task time, 0.302
Task time, 0.322
Task time, 0.308
Task time, 0.501
Task time, 0.299
Task time, 0.309
Task time, 0.313
Task time, 0.322
Task time, 0.413
Task time, 0.307
Task time, 0.365
Task time, 0.305
Task time, 0.389
Task time, 0.425
Task time, 0.537
Task time, 0.301
Task time, 0.288
Task time, 0.295
Task time, 0.285
Task time, 0.263
Task time, 0.309
Task time, 0.339
Task time, 0.558
Task time, 0.324
Task time, 0.334
Task time, 0.309
Task time, 0.434
Task time, 0.362
Task time, 0.347
Task time, 0.336
Task time, 0.464
Task time, 0.49
Task time, 0.355
Task time, 0.455
Task time, 0.328
Task time, 0.392
Task time, 0.317
Task time, 0.439
Task time, 0.338
Task time, 0.378
Task time, 0.463
Task time, 0.447
Task time, 0.407
Task time, 0.373
Task time, 0.408
Task time, 0.741
Task time, 0.423
Task time, 0.444
Task time, 0.411
Task time, 0.433
Task time, 0.407
Task time, 0.52
Task time, 0.749
Task time, 0.412
Task time, 0.406
Task time, 0.394
Task time, 0.449
Task time, 0.981
Task time, 0.443
Task time, 0.415
Task time, 0.409
Task time, 0.405
Task time, 0.419
Task time, 0.472
Task time, 1.003
Task time, 0.413
Task time, 0.429
Task time, 0.459
Task time, 0.436
Task time, 0.647
Task time, 0.458
Task time, 0.426
Task time, 0.459
Task time, 1.105
Task time, 0.846
Task time, 0.488
Task time, 0.538
Task time, 0.502
Task time, 0.479
Task time, 0.548
Task time, 1.448
Task time, 0.538
Task time, 0.577
Task time, 0.526
Task time, 0.796
Task time, 0.608
Task time, 0.593
Task time, 0.554
Task time, 0.547
Task time, 0.796
Task time, 0.495
Task time, 0.543
Task time, 0.589
Task time, 1.082
Task time, 0.612
Task time, 0.558
Task time, 0.663
Task time, 0.665
Task time, 1.156
Task time, 0.889
Task time, 0.704
Task time, 0.614
Task time, 0.638
Task time, 0.676
Task time, 0.66
Task time, 1.152
Task time, 0.669
Task time, 0.674
Task time, 0.672
Task time, 1.573
Task time, 0.666
Task time, 1.013
Task time, 0.671
Task time, 1.772
Task time, 0.68
Task time, 0.623
Task time, 0.667
Task time, 1.06
Task time, 1.632
Task time, 0.69
Task time, 0.787
Task time, 0.982
Task time, 1.689
Task time, 1.773
Task time, 1.037
Task time, 0.671
Task time, 0.68
Task time, 1.063
Task time, 0.766
Task time, 1.493
Task time, 1.532
Task time, 0.843
Task time, 1.063
Task time, 0.81
Task time, 1.14
Task time, 1.113
Task time, 1.249
Task time, 0.711
Task time, 0.72
Task time, 0.843
Task time, 0.742
Task time, 0.708
Task time, 1.98
Task time, 0.875
Task time, 0.907
Task time, 0.789
Task time, 1.38
Task time, 0.773
Task time, 0.908
Task time, 1.899
Task time, 1.209
Task time, 0.664
Task time, 0.789
Task time, 0.72
Task time, 0.721
Task time, 0.741
Task time, 0.784
Task time, 0.775
Task time, 1.822
Task time, 0.808
Task time, 0.814
Task time, 0.78
Task time, 1.268
Task time, 0.775
Task time, 0.663
Task time, 0.664
Task time, 1.036
Task time, 0.772
Task time, 0.803
Task time, 1.421
Task time, 1.164
Task time, 0.794
Task time, 1.088
Task time, 0.795
Task time, 0.794
Task time, 0.866
Task time, 0.799
Task time, 1.372
Task time, 0.95
Task time, 1.82
Task time, 0.847
Task time, 1.091
Task time, 0.703
Task time, 0.775
Task time, 0.809
Task time, 0.822
Task time, 0.769
Task time, 0.686
Task time, 1.776
Task time, 0.876
Task time, 0.716
Task time, 1.371
Task time, 1.047
Task time, 0.74
Task time, 0.734
Task time, 0.7
Task time, 1.604
Task time, 0.757
Task time, 1.03
Task time, 0.765
Task time, 1.163
Task time, 1.117
Task time, 0.838
Task time, 0.865
Task time, 1.541
Task time, 0.808
Task time, 1.164
Task time, 2.272
Task time, 0.921
Task time, 0.88
Task time, 1.242
Task time, 0.916
Task time, 1.29
Task time, 0.909
Task time, 0.893
Task time, 0.887
Task time, 0.818
Task time, 1.224
Task time, 0.83
Task time, 0.892
Task time, 0.791
