Component, Time (ms)
Task time, 47837.492681
Task time, 6598.434325
Task time, 8653.409284
Task time, 21385.645806
Task time, 13095.670835
Task time, 28150.357945
Task time, 16509.359291
Task time, 20239.954093
Task time, 22462.645178
Task time, 21525.146199
Task time, 32402.624698
Task time, 27660.869099
Task time, 25203.519035
Task time, 24078.69101
Task time, 27698.446688
Task time, 41846.328293
Task time, 37985.444732
Task time, 51641.723175
Task time, 37982.909141
Task time, 37916.834035
Task time, 40256.56396
Task time, 42773.061159
Task time, 57576.248493
Task time, 49273.320783
Tour: 10 9 5 1 0 4 8 11 7 3 2 6  Length: 31.313708498984763
Client Total,742881.169217

