Component, Time (ms)
Task time, 5958.696683
Task time, 7532.193848
Task time, 9184.775347
Task time, 10851.565488
Task time, 10782.382327
Task time, 13110.509805
Task time, 13978.82886
Task time, 15844.411715
Task time, 16919.457761
Task time, 18862.751483
Task time, 22671.454043
Task time, 25132.397536
Task time, 28356.475719
Task time, 30922.418362
Task time, 31876.21881
Task time, 32684.257499
Task time, 35719.153024
Task time, 38549.464797
Task time, 39969.113369
Task time, 41158.086555
Task time, 40900.149943
Task time, 41915.918197
Task time, 44482.169216
Task time, 46341.424055
Task time, 49274.201254
Task time, 50804.339104
Task time, 50724.106642
Task time, 51369.351953
Task time, 52328.025775
Task time, 54763.060513
Task time, 58366.14549
Task time, 58658.511563
Task time, 61078.637862
Task time, 66937.851181
Task time, 71893.762212
Task time, 77921.226378
Task time, 89640.465709
Task time, 91592.039409
Task time, 90372.715168
Task time, 85738.242039
Task time, 77433.739183
Task time, 77796.134704
Task time, 78961.753855
Task time, 80320.448858
Task time, 83597.636372
Task time, 85405.890597
Task time, 86982.38382
Task time, 88277.511285
Task time, 88903.378332
Task time, 91168.962306
Task time, 93333.256045
Task time, 94155.752971
Task time, 95832.026737
Task time, 100421.655585
Task time, 103738.147334
Task time, 103843.594821
Task time, 108503.270377
Task time, 109388.206304
Task time, 109380.598129
Task time, 110334.869773
Task time, 108940.597644
Task time, 110855.988661
Task time, 111186.993698
Task time, 112673.454992
Task time, 118756.746493
Task time, 124291.492262
Task time, 123822.968588
Task time, 123885.816269
Task time, 121920.973518
Task time, 124885.490165
Task time, 127258.244522
Task time, 128117.091614
Task time, 131812.740846
Task time, 135410.727116
Task time, 135451.961853
Task time, 136112.960022
Task time, 138667.604237
Task time, 141218.304872
Task time, 143488.310153
Task time, 145190.946608
Task time, 146214.049183
Task time, 146032.931899
Task time, 147027.295282
Task time, 147482.209337
Task time, 150800.414652
Task time, 155841.370871
Task time, 157459.221062
Task time, 159458.030944
Task time, 159003.899726
Task time, 161550.682907
Task time, 162915.850083
Task time, 162722.60908
Task time, 165793.47315
Task time, 164568.005173
Task time, 162244.442226
Task time, 156120.72635
Tour: 1 5 9 0 8 10 6 2 3 7 11 4  Length: 1.7976931348623157E308
Client Total,2195470.454643

