Component, Time (ms)
Task, Run Time (ms)
Fib_INIT_1(16) >[0], 3.244977
Fib_3(15) >[2], 0.006031
Fib_4(14) >[2], 0.009554
Fib_6(14) >[5], 0.005929
Fib_7(13) >[5], 0.005615
Fib_9(13) >[8], 0.005641
Fib_10(12) >[8], 0.005994
Fib_12(13) >[11], 0.005494
Fib_13(12) >[11], 0.00551
Fib_15(12) >[14], 0.005691
Fib_16(11) >[14], 0.005779
Fib_18(12) >[17], 0.005638
Fib_19(11) >[17], 0.005662
Fib_21(11) >[20], 0.005561
Fib_22(10) >[20], 0.005786
Fib_24(12) >[23], 0.00606
Fib_25(11) >[23], 0.00604
Fib_27(11) >[26], 0.005912
Fib_28(10) >[26], 0.005722
Fib_30(11) >[29], 0.008864
Fib_31(10) >[29], 0.006281
Fib_33(10) >[32], 0.030194
Fib_34(9) >[32], 0.007088
Fib_36(11) >[35], 0.006411
Fib_37(10) >[35], 0.005937
Fib_39(10) >[38], 0.005447
Fib_40(9) >[38], 0.005141
Fib_42(10) >[41], 0.004889
Fib_43(9) >[41], 0.005081
Fib_45(9) >[44], 0.004816
Fib_46(8) >[44], 0.004747
Fib_48(11) >[47], 0.005226
Fib_49(10) >[47], 0.005322
Fib_51(10) >[50], 0.005088
Fib_52(9) >[50], 0.005237
Fib_54(10) >[53], 0.005523
Fib_55(9) >[53], 0.00749
Fib_57(9) >[56], 0.004905
Fib_58(8) >[56], 0.004984
Fib_60(10) >[59], 0.004831
Fib_61(9) >[59], 0.005044
Fib_63(9) >[62], 0.004922
Fib_64(8) >[62], 0.004838
Fib_66(9) >[65], 0.004963
Fib_67(8) >[65], 0.004829
Fib_69(8) >[68], 0.006866
Fib_70(7) >[68], 0.006457
Fib_72(10) >[71], 0.005468
Fib_73(9) >[71], 0.005404
Fib_75(9) >[74], 0.005336
Fib_76(8) >[74], 0.005421
Fib_78(9) >[77], 0.005553
Fib_79(8) >[77], 0.005517
Fib_81(8) >[80], 0.005586
Fib_82(7) >[80], 0.005589
Fib_84(9) >[83], 0.008629
Fib_85(8) >[83], 0.005359
Fib_87(8) >[86], 0.00538
Fib_88(7) >[86], 0.005463
Fib_90(8) >[89], 0.00538
Fib_91(7) >[89], 0.005364
Fib_93(7) >[92], 0.00542
Fib_94(6) >[92], 0.005414
Fib_96(10) >[95], 0.005425
Fib_97(9) >[95], 0.005845
Fib_99(9) >[98], 0.005438
Fib_100(8) >[98], 0.011206
Fib_102(9) >[101], 0.006432
Fib_103(8) >[101], 0.006864
Fib_105(8) >[104], 0.006231
Fib_106(7) >[104], 0.004856
Fib_108(9) >[107], 0.005557
Fib_109(8) >[107], 0.005366
Fib_111(8) >[110], 0.005606
Fib_112(7) >[110], 0.004542
Fib_114(8) >[113], 0.004482
Fib_115(7) >[113], 0.004419
Fib_117(7) >[116], 0.004361
Fib_118(6) >[116], 0.004402
Fib_120(9) >[119], 0.004689
Fib_121(8) >[119], 0.004487
Fib_123(8) >[122], 0.006933
Fib_124(7) >[122], 0.007129
Fib_126(8) >[125], 0.004278
Fib_127(7) >[125], 0.004406
Fib_129(7) >[128], 0.004873
Fib_130(6) >[128], 0.004378
Fib_132(8) >[131], 0.006008
Fib_133(7) >[131], 0.004336
Fib_135(7) >[134], 0.005657
Fib_136(6) >[134], 0.004217
Fib_138(7) >[137], 0.004357
Fib_139(6) >[137], 0.004092
Fib_141(6) >[140], 0.004276
Fib_142(5) >[140], 0.004356
Fib_144(9) >[143], 0.004157
Fib_145(8) >[143], 0.004307
Fib_147(8) >[146], 0.004176
Fib_148(7) >[146], 0.004301
Fib_150(8) >[149], 0.004168
Fib_151(7) >[149], 0.004564
Fib_153(7) >[152], 0.003907
Fib_154(6) >[152], 0.004026
Fib_156(8) >[155], 0.004254
Fib_157(7) >[155], 0.003905
