Component, Time (ms)
Fib_INIT_1(16) >[0], 1.099
Fib_3(15) >[2], 0.009
Fib_4(14) >[2], 0.008
Fib_7(13) >[5], 0.007
Fib_9(13) >[8], 0.007
Fib_6(14) >[5], 0.012
Fib_12(12) >[11], 0.006
Fib_13(11) >[11], 0.007
Fib_15(12) >[14], 0.008
Fib_10(12) >[8], 0.007
Fib_18(13) >[17], 0.008
Fib_19(12) >[17], 0.008
Fib_21(11) >[20], 0.009
Fib_16(11) >[14], 0.006
Fib_22(10) >[20], 0.011
Fib_24(10) >[23], 0.009
Fib_25(9) >[23], 0.115
Fib_27(11) >[26], 0.007
Fib_28(10) >[26], 0.008
Fib_30(11) >[29], 0.106
Fib_31(10) >[29], 0.007
Fib_33(12) >[32], 0.006
Fib_34(11) >[32], 0.007
Fib_36(11) >[35], 0.007
Fib_37(10) >[35], 0.007
Fib_39(10) >[38], 0.006
Fib_42(10) >[41], 0.011
Fib_43(9) >[41], 0.007
Fib_45(9) >[44], 0.012
Fib_46(8) >[44], 0.008
Fib_48(9) >[47], 0.008
Fib_40(9) >[38], 0.014
Fib_49(8) >[47], 0.01
Fib_51(8) >[50], 0.008
Fib_52(7) >[50], 0.011
Fib_55(9) >[53], 0.008
Fib_54(10) >[53], 0.006
Fib_57(9) >[56], 0.01
Fib_60(10) >[59], 0.009
Fib_61(9) >[59], 0.008
Fib_58(8) >[56], 0.008
Fib_64(8) >[62], 0.007
Fib_66(11) >[65], 0.007
Fib_67(10) >[65], 0.007
Fib_63(9) >[62], 0.008
Fib_69(10) >[68], 0.007
Fib_70(9) >[68], 0.006
Fib_72(10) >[71], 0.011
Fib_73(9) >[71], 0.008
Fib_75(9) >[74], 0.008
Fib_76(8) >[74], 0.02
Fib_78(9) >[77], 0.006
Fib_79(8) >[77], 0.009
Fib_81(9) >[80], 0.008
Fib_84(8) >[83], 0.006
Fib_85(7) >[83], 0.007
Fib_87(8) >[86], 0.007
Fib_82(8) >[80], 0.012
Fib_88(7) >[86], 0.007
Fib_90(7) >[89], 0.01
Fib_91(6) >[89], 0.007
Fib_94(7) >[92], 0.009
Fib_96(8) >[95], 0.007
Fib_93(8) >[92], 0.007
Fib_97(7) >[95], 0.008
Fib_99(7) >[98], 0.006
Fib_100(6) >[98], 0.008
Fib_103(6) >[101], 0.007
Fib_102(7) >[101], 0.007
Fib_106(5) >[104], 0.008
Fib_108(8) >[107], 0.008
Fib_105(6) >[104], 0.008
Fib_109(7) >[107], 0.015
Fib_111(9) >[110], 0.008
Fib_112(8) >[110], 0.008
Fib_114(8) >[113], 0.009
Fib_115(7) >[113], 0.008
Fib_117(9) >[116], 0.008
Fib_118(8) >[116], 0.014
Fib_120(8) >[119], 0.008
Fib_121(7) >[119], 0.007
Fib_124(6) >[122], 0.006
Fib_123(7) >[122], 0.013
Fib_126(7) >[125], 0.006
Fib_127(6) >[125], 0.008
Fib_129(10) >[128], 0.006
Fib_130(9) >[128], 0.008
Fib_132(9) >[131], 0.006
Fib_133(8) >[131], 0.007
Fib_135(8) >[134], 0.012
Fib_136(7) >[134], 0.008
Fib_138(9) >[137], 0.007
Fib_141(8) >[140], 0.006
Fib_139(8) >[137], 0.007
Fib_142(7) >[140], 0.008
Fib_144(9) >[143], 0.006
Fib_145(8) >[143], 0.006
Fib_148(7) >[146], 0.007
Fib_147(8) >[146], 0.006
Fib_151(7) >[149], 0.007
Fib_153(7) >[152], 0.006
Fib_154(6) >[152], 0.006
Fib_150(8) >[149], 0.007
Fib_156(8) >[155], 0.007
Fib_157(7) >[155], 0.007
Fib_160(6) >[158], 0.006
Fib_159(7) >[158], 0.006
Fib_163(7) >[161], 0.007
Fib_165(7) >[164], 0.007
Fib_166(6) >[164], 0.007
Fib_168(6) >[167], 0.016
Fib_162(8) >[161], 0.008
Fib_169(5) >[167], 0.009
Fib_172(6) >[170], 0.006
Fib_174(7) >[173], 0.011
Fib_175(6) >[173], 0.007
Fib_171(7) >[170], 0.009
Fib_178(5) >[176], 0.007
Fib_180(6) >[179], 0.006
Fib_181(5) >[179], 0.011
Fib_177(6) >[176], 0.007
Fib_183(5) >[182], 0.006
Fib_184(4) >[182], 0.007
Fib_186(6) >[185], 0.008
Fib_187(5) >[185], 0.008
Fib_189(7) >[188], 0.007
Fib_190(6) >[188], 0.008
Fib_192(7) >[191], 0.009
Fib_195(6) >[194], 0.01
Fib_196(5) >[194], 0.008
Fib_198(6) >[197], 0.007
Fib_199(5) >[197], 0.008
Fib_201(5) >[200], 0.013
Fib_193(6) >[191], 0.01
Fib_202(4) >[200], 0.008
Fib_204(5) >[203], 0.007
Fib_207(6) >[206], 0.006
Fib_205(4) >[203], 0.007
Fib_208(5) >[206], 0.009
Fib_210(4) >[209], 0.007
