Component, Time (ms)
Task, Run Time (ms)
Fib_INIT_1(16) >[0], 10.779
Fib_3(15) >[2], 1.697
Fib_4(14) >[2], 1.851
Fib_6(14) >[5], 0.01
Fib_7(13) >[5], 0.01
Fib_12(13) >[11], 0.01
Fib_10(12) >[8], 0.01
Fib_13(12) >[11], 0.01
Fib_15(12) >[14], 0.009
Fib_16(11) >[14], 0.009
Fib_9(13) >[8], 1.737
Fib_18(12) >[17], 0.008
Fib_19(11) >[17], 0.009
Fib_21(11) >[20], 0.014
Fib_22(10) >[20], 0.009
Fib_24(11) >[23], 0.01
Fib_25(10) >[23], 0.01
Fib_27(11) >[26], 0.009
Fib_28(10) >[26], 0.008
Fib_30(10) >[29], 0.009
Fib_33(12) >[32], 0.041
Fib_31(9) >[29], 0.05
Fib_34(11) >[32], 0.01
Fib_36(11) >[35], 0.014
Fib_37(10) >[35], 0.018
Fib_40(9) >[38], 0.009
Fib_42(10) >[41], 0.009
Fib_43(9) >[41], 0.009
Fib_46(8) >[44], 0.01
Fib_39(10) >[38], 0.009
Fib_45(9) >[44], 0.015
Fib_49(9) >[47], 0.009
Fib_48(10) >[47], 0.015
Fib_52(8) >[50], 0.009
Fib_51(9) >[50], 0.018
Fib_55(9) >[53], 0.009
Fib_57(9) >[56], 0.018
Fib_54(10) >[53], 0.009
Fib_58(8) >[56], 0.009
Fib_61(8) >[59], 0.009
Fib_63(11) >[62], 0.009
Fib_60(9) >[59], 0.01
Fib_66(8) >[65], 0.008
Fib_64(10) >[62], 0.009
Fib_67(7) >[65], 0.009
Fib_70(9) >[68], 0.008
Fib_69(10) >[68], 0.009
Fib_75(9) >[74], 0.008
Fib_72(10) >[71], 0.008
Fib_76(8) >[74], 0.011
Fib_79(7) >[77], 0.009
Fib_81(9) >[80], 0.009
Fib_82(8) >[80], 0.009
Fib_84(8) >[83], 0.008
Fib_85(7) >[83], 0.009
Fib_73(9) >[71], 0.008
Fib_87(7) >[86], 0.009
Fib_78(8) >[77], 0.01
Fib_88(6) >[86], 0.01
Fib_93(8) >[92], 0.011
Fib_90(9) >[89], 0.009
Fib_94(7) >[92], 0.009
Fib_91(8) >[89], 0.017
Fib_96(8) >[95], 0.009
Fib_97(7) >[95], 0.01
Fib_99(9) >[98], 0.009
Fib_100(8) >[98], 0.009
Fib_102(7) >[101], 0.01
Fib_103(6) >[101], 0.009
Fib_106(7) >[104], 0.009
Fib_108(8) >[107], 0.01
Fib_109(7) >[107], 0.008
Fib_112(7) >[110], 0.01
Fib_114(9) >[113], 0.008
Fib_115(8) >[113], 0.009
Fib_105(8) >[104], 0.009
Fib_118(6) >[116], 0.01
Fib_117(7) >[116], 0.008
Fib_123(10) >[122], 0.11
Fib_121(6) >[119], 0.009
Fib_124(9) >[122], 0.01
Fib_126(8) >[125], 0.008
Fib_129(7) >[128], 0.01
Fib_127(7) >[125], 0.009
Fib_130(6) >[128], 0.015
Fib_132(9) >[131], 0.009
Fib_133(8) >[131], 0.016
Fib_135(6) >[134], 0.011
Fib_136(5) >[134], 0.01
Fib_138(8) >[137], 0.008
Fib_139(7) >[137], 0.009
Fib_141(9) >[140], 0.019
Fib_142(8) >[140], 0.015
Fib_144(8) >[143], 0.017
Fib_145(7) >[143], 0.012
Fib_120(7) >[119], 0.01
Fib_111(8) >[110], 0.009
Fib_150(7) >[149], 0.009
Fib_151(6) >[149], 0.009
Fib_154(5) >[152], 0.008
Fib_153(6) >[152], 0.008
Fib_156(8) >[155], 0.008
Fib_157(7) >[155], 0.015
Fib_159(7) >[158], 0.008
Fib_160(6) >[158], 0.038
Fib_162(7) >[161], 0.009
Fib_163(6) >[161], 0.008
Fib_165(6) >[164], 0.014
Fib_166(5) >[164], 0.008
Fib_168(7) >[167], 0.008
Fib_169(6) >[167], 0.009
Fib_171(6) >[170], 0.008
Fib_172(5) >[170], 0.008
Fib_174(8) >[173], 0.009
Fib_175(7) >[173], 0.009
Fib_177(5) >[176], 0.01
Fib_180(7) >[179], 0.009
Fib_147(9) >[146], 0.021
Fib_181(6) >[179], 0.008
Fib_148(8) >[146], 0.009
Fib_183(8) >[182], 0.009
Fib_184(7) >[182], 0.01
Fib_186(6) >[185], 0.009
Fib_187(5) >[185], 0.009
Fib_190(6) >[188], 0.01
Fib_192(7) >[191], 0.008
Fib_178(4) >[176], 0.008
Fib_193(6) >[191], 0.008
Fib_195(6) >[194], 0.01
Fib_196(5) >[194], 0.009
Fib_201(7) >[200], 0.009
Fib_199(7) >[197], 0.008
Fib_202(6) >[200], 0.011
Fib_204(6) >[203], 0.009
Fib_198(8) >[197], 0.01
Fib_205(5) >[203], 0.009
Fib_207(5) >[206], 0.01
Fib_210(6) >[209], 0.009
Fib_211(5) >[209], 0.009
Fib_208(4) >[206], 0.009
Fib_213(7) >[212], 0.009
Fib_214(6) >[212], 0.009
Fib_219(6) >[218], 0.01
Fib_216(6) >[215], 0.009
Fib_217(5) >[215], 0.01
Fib_189(7) >[188], 0.008
Fib_222(8) >[221], 0.009
Fib_220(5) >[218], 0.009
Fib_225(7) >[224], 0.008
Fib_228(7) >[227], 0.008
Fib_229(6) >[227], 0.008
Fib_231(5) >[230], 0.009
Fib_226(6) >[224], 0.01
Fib_232(4) >[230], 0.009
Fib_234(6) >[233], 0.008
Fib_237(9) >[236], 0.008
Fib_238(8) >[236], 0.009
Fib_235(5) >[233], 0.008
Fib_223(7) >[221], 0.009
Fib_240(5) >[239], 0.011
Fib_244(7) >[242], 0.008
Fib_246(7) >[245], 0.009
Fib_247(6) >[245], 0.01
Fib_249(6) >[248], 0.008
Fib_241(4) >[239], 0.009
Fib_252(6) >[251], 0.01
Fib_250(5) >[248], 0.009
Fib_256(4) >[254], 0.008
Fib_255(5) >[254], 0.019
Fib_258(8) >[257], 0.009
Fib_259(7) >[257], 0.008
Fib_261(7) >[260], 0.009
Fib_262(6) >[260], 0.009
Fib_264(5) >[263], 0.008
Fib_265(4) >[263], 0.009
Fib_243(8) >[242], 0.008
Fib_253(5) >[251], 0.01
Fib_270(7) >[269], 0.009
Fib_271(6) >[269], 0.01
Fib_273(6) >[272], 0.008
Fib_274(5) >[272], 0.009
Fib_276(8) >[275], 0.008
Fib_277(7) >[275], 0.009
Fib_279(7) >[278], 0.009
Fib_280(6) >[278], 0.008
Fib_282(7) >[281], 0.008
Fib_283(6) >[281], 0.01
Fib_285(6) >[284], 0.01
Fib_286(5) >[284], 0.01
Fib_288(6) >[287], 0.017
Fib_289(5) >[287], 0.01
Fib_291(7) >[290], 0.009
Fib_292(6) >[290], 0.008
Fib_294(6) >[293], 0.009
Fib_295(5) >[293], 0.009
Fib_297(5) >[296], 0.008
Fib_298(4) >[296], 0.009
Fib_267(4) >[266], 0.009
Fib_268(3) >[266], 0.009
Fib_303(5) >[302], 0.011
Fib_304(4) >[302], 0.008
Fib_306(7) >[305], 0.009
Fib_307(6) >[305], 0.009
